"x1","y1","z1","x2","y2","z2","l","r1","r2","p","dl","dr","Q1","Q2","p1","p2","Q1p","Q2p","A1p","A2p"
-0.896074,-1.91215,-3.86614,-1.02093,-2.03871,-3.96093,0.201471,0.0474474,0.0474474,125,127,-10,0,0,-8.40983,-8.40983,0,0,0,0
-1.02093,-2.03871,-3.96093,-1.17495,-2.14562,-4.02809,0.199157,0.0459945,0.0459945,126,128,-10,0,0,-8.15231,-8.15231,0,0,0,0
-1.17495,-2.14562,-4.02809,-1.25595,-2.19777,-4.05797,0.100863,0.0456203,0.0456203,127,129,-10,0,0,-8.08599,-8.08599,0,0,0,0
-1.25595,-2.19777,-4.05797,-1.57995,-2.40637,-4.1775,0.403452,0.0430419,0.0430419,128,130,-10,0,0,-7.62898,-7.62898,0,0,0,0
-1.57995,-2.40637,-4.1775,-1.6855,-2.48981,-4.23712,0.147168,0.0423179,0.0423179,129,131,-10,0,0,-7.50065,-7.50065,0,0,0,0
-1.6855,-2.48981,-4.23712,-1.79105,-2.57325,-4.29675,0.147168,0.0422646,0.0422646,130,132,-10,0,0,-7.49121,-7.49121,0,0,0,0
-1.79105,-2.57325,-4.29675,-1.79383,-2.58562,-4.29966,0.0130085,0.0384123,0.0384123,131,133,-10,0,0,-6.8084,-6.8084,0,0,0,0
-1.79383,-2.58562,-4.29966,-1.8189,-2.69695,-4.32582,0.117076,0.0371908,0.0371908,132,134,-10,0,0,-6.5919,-6.5919,0,0,0,0
-1.8189,-2.69695,-4.32582,-1.83005,-2.74642,-4.33745,0.0520339,0.0368159,0.0368159,133,135,-10,0,0,-6.52545,-6.52545,0,0,0,0
-1.83005,-2.74642,-4.33745,-1.88018,-2.96908,-4.38978,0.234153,0.0366576,0.0366576,134,136,-10,0,0,-6.49739,-6.49739,0,0,0,0
-1.88018,-2.96908,-4.38978,-1.93032,-3.19173,-4.44211,0.234153,0.0365914,0.0365914,135,-10,-10,0,0,-6.48566,-6.48566,0,0,0,0
0.624947,0.728198,-2.0933,0.753124,0.729871,-2.12882,0.133018,0.0668808,0.0668808,55,138,-10,0,0,-11.8543,-11.8543,0,0,0,0
0.753124,0.729871,-2.12882,0.778759,0.730205,-2.13592,0.0266036,0.0668086,0.0668086,137,139,-10,0,0,-11.8415,-11.8415,0,0,0,0
0.778759,0.730205,-2.13592,1.00948,0.733215,-2.19986,0.239432,0.0667882,0.0667882,138,140,-10,0,0,-11.8379,-11.8379,0,0,0,0
1.00948,0.733215,-2.19986,1.18038,0.735444,-2.24722,0.177357,0.0666533,0.0666533,139,141,142,0,0,-11.814,-11.814,0,0,0,0
1.18038,0.735444,-2.24722,1.35817,0.721267,-2.25912,0.178748,0.0648149,0.0648149,140,143,-10,0,0,-11.4881,-11.4881,0,0,0,0
1.18038,0.735444,-2.24722,1.21639,0.748066,-2.40408,0.16143,0.0287776,0.0287776,140,-10,-10,0,0,-5.1007,-5.1007,0,0,0,0
1.35817,0.721267,-2.25912,1.39372,0.718432,-2.2615,0.0357495,0.0647951,0.0647951,141,144,-10,0,0,-11.4846,-11.4846,0,0,0,0
1.39372,0.718432,-2.2615,1.47669,0.711816,-2.26706,0.0834155,0.06477,0.06477,143,145,-10,0,0,-11.4802,-11.4802,0,0,0,0
1.47669,0.711816,-2.26706,1.74337,0.690551,-2.28492,0.268121,0.064219,0.064219,144,146,-10,0,0,-11.3825,-11.3825,0,0,0,0
1.74337,0.690551,-2.28492,1.77893,0.687715,-2.2873,0.0357495,0.063965,0.063965,145,147,-10,0,0,-11.3375,-11.3375,0,0,0,0
1.77893,0.687715,-2.2873,1.92116,0.676374,-2.29682,0.142998,0.0639432,0.0639432,146,148,-10,0,0,-11.3336,-11.3336,0,0,0,0
1.92116,0.676374,-2.29682,2.06185,0.700267,-2.40118,0.176796,0.0636477,0.0636477,147,149,-10,0,0,-11.2813,-11.2813,0,0,0,0
2.06185,0.700267,-2.40118,2.2729,0.736108,-2.55772,0.265193,0.0626329,0.0626329,148,150,151,0,0,-11.1014,-11.1014,0,0,0,0
2.2729,0.736108,-2.55772,2.31878,0.802274,-2.59887,0.0904245,0.0508112,0.0508112,149,152,-10,0,0,-9.00605,-9.00605,0,0,0,0
2.2729,0.736108,-2.55772,2.38243,0.656727,-2.62346,0.150404,0.0485615,0.0485615,149,168,-10,0,0,-8.6073,-8.6073,0,0,0,0
2.31878,0.802274,-2.59887,2.42584,0.956661,-2.69488,0.21099,0.0507786,0.0507786,150,153,154,0,0,-9.00027,-9.00027,0,0,0,0
2.42584,0.956661,-2.69488,2.59645,1.00634,-2.67789,0.178499,0.0464855,0.0464855,152,155,-10,0,0,-8.23934,-8.23934,0,0,0,0
2.42584,0.956661,-2.69488,2.383,1.06727,-2.95265,0.283746,0.0312373,0.0312373,152,-10,-10,0,0,-5.53667,-5.53667,0,0,0,0
2.59645,1.00634,-2.67789,2.99452,1.12224,-2.63823,0.416497,0.0464533,0.0464533,153,156,-10,0,0,-8.23363,-8.23363,0,0,0,0
2.99452,1.12224,-2.63823,3.05771,1.14064,-2.63193,0.0661106,0.0463246,0.0463246,155,157,158,0,0,-8.21082,-8.21082,0,0,0,0
3.05771,1.14064,-2.63193,3.24192,1.28183,-2.67855,0.236735,0.0390892,0.0390892,156,159,-10,0,0,-6.92838,-6.92838,0,0,0,0
3.05771,1.14064,-2.63193,3.18946,1.12098,-2.52294,0.172119,0.0341093,0.0341093,156,164,-10,0,0,-6.04572,-6.04572,0,0,0,0
3.24192,1.28183,-2.67855,3.36474,1.37595,-2.70963,0.157823,0.0388883,0.0388883,157,160,-10,0,0,-6.89277,-6.89277,0,0,0,0
3.36474,1.37595,-2.70963,3.51373,1.54101,-2.80675,0.24264,0.0384105,0.0384105,159,161,-10,0,0,-6.80808,-6.80808,0,0,0,0
3.51373,1.54101,-2.80675,3.772,1.65748,-2.85965,0.288222,0.0365804,0.0365804,160,162,-10,0,0,-6.48371,-6.48371,0,0,0,0
3.772,1.65748,-2.85965,3.83526,1.6704,-2.93592,0.099927,0.0331862,0.0331862,161,163,-10,0,0,-5.8821,-5.8821,0,0,0,0
3.83526,1.6704,-2.93592,4.08829,1.72208,-3.241,0.399708,0.033104,0.033104,162,-10,-10,0,0,-5.86753,-5.86753,0,0,0,0
3.18946,1.12098,-2.52294,3.37428,1.1294,-2.38549,0.230485,0.033368,0.033368,158,165,-10,0,0,-5.91432,-5.91432,0,0,0,0
3.37428,1.1294,-2.38549,3.4975,1.13501,-2.29385,0.153656,0.0331218,0.0331218,164,166,-10,0,0,-5.87069,-5.87069,0,0,0,0
3.4975,1.13501,-2.29385,3.50887,1.13419,-2.28553,0.0141168,0.0330249,0.0330249,165,167,-10,0,0,-5.85351,-5.85351,0,0,0,0
3.50887,1.13419,-2.28553,3.61126,1.12684,-2.21066,0.127051,0.0327035,0.0327035,166,-10,-10,0,0,-5.79654,-5.79654,0,0,0,0
2.38243,0.656727,-2.62346,2.44815,0.609099,-2.66291,0.0902425,0.048527,0.048527,151,169,-10,0,0,-8.60119,-8.60119,0,0,0,0
